"CODE_TRANSPORTEUR","MODALITE_COLLECTE","NATURE_COLLECTE","SECTEUR_COLLECTE"
"000426","PAV","Prestation","MULTISECTEUR"
"000881","PAV","R̩gie","NORD-EST"
"000882","PAV","R̩gie","NORD-EST"
"000883","PAV","R̩gie","NORD-EST"
"000884","PAV","R̩gie","SUD"
"000885","PAV","R̩gie","SUD"
"000886","PAV","R̩gie","SUD"
"000887","PAV","R̩gie","NORD-OUEST"
"000888","PAV","R̩gie","SUD"
"000889","PAV","R̩gie","NORD-OUEST"
"000890","PAV","R̩gie","SUD"
"000891","PAV","R̩gie","SUD"
"000892","PAV","R̩gie","NORD-EST"
"000893","PAV","R̩gie","NORD-OUEST"
"101012","PAP","R̩gie","NORD-EST"
"101013","PAP","R̩gie","NORD-EST"
"101014","PAP","R̩gie","NORD-EST"
"101015","PAP","R̩gie","NORD-EST"
"101022","PAP","R̩gie","NORD-EST"
"101023","PAP","R̩gie","NORD-EST"
"101024","PAP","R̩gie","NORD-EST"
"101025","PAP","R̩gie","NORD-EST"
"101026","PAP","R̩gie","NORD-EST"
"110002","PAP","R̩gie","NORD-EST"
"110003","PAP","R̩gie","NORD-EST"
"110004","PAP","R̩gie","NORD-EST"
"110005","PAP","R̩gie","NORD-EST"
"110006","PAP","R̩gie","NORD-EST"
"110007","PAP","R̩gie","NORD-EST"
"110008","PAP","R̩gie","NORD-EST"
"110009","PAP","R̩gie","NORD-EST"
"110010","PAP","R̩gie","NORD-EST"
"110012","PAP","R̩gie","NORD-EST"
"110013","PAP","R̩gie","NORD-EST"
"110014","PAP","R̩gie","NORD-EST"
"110015","PAP","R̩gie","NORD-EST"
"111004","PAP","R̩gie","NORD-EST"
"111008","PAP","R̩gie","NORD-EST"
"112009","PAP","R̩gie","NORD-EST"
"112010","PAP","R̩gie","NORD-EST"
"112011","PAP","R̩gie","NORD-EST"
"114002","PAP","R̩gie","NORD-EST"
"115003","PAP","R̩gie","NORD-EST"
"115006","PAP","R̩gie","NORD-EST"
"115008","PAP","R̩gie","NORD-EST"
"116011","PAP","R̩gie","NORD-EST"
"120001","PAP","R̩gie","SUD"
"120002","PAP","R̩gie","SUD"
"120004","PAP","R̩gie","SUD"
"120005","PAP","R̩gie","SUD"
"120006","PAP","R̩gie","SUD"
"120008","PAP","R̩gie","SUD"
"120011","PAP","R̩gie","SUD"
"120013","PAP","R̩gie","SUD"
"120015","PAP","R̩gie","SUD"
"120017","PAP","R̩gie","SUD"
"120018","PAP","R̩gie","SUD"
"120023","PAP","R̩gie","SUD"
"120025","PAP","R̩gie","SUD"
"120026","PAP","R̩gie","SUD"
"120027","PAP","R̩gie","SUD"
"120028","PAP","R̩gie","SUD"
"120029","PAP","R̩gie","SUD"
"120030","PAP","R̩gie","SUD"
"120031","PAP","R̩gie","SUD"
"120032","PAP","R̩gie","SUD"
"120033","PAP","R̩gie","SUD"
"120034","PAP","R̩gie","SUD"
"120035","PAP","R̩gie","SUD"
"120036","PAP","R̩gie","SUD"
"120037","PAP","R̩gie","SUD"
"120038","PAP","R̩gie","SUD"
"120039","PAP","R̩gie","SUD"
"120040","PAP","R̩gie","SUD"
"120041","PAP","R̩gie","SUD"
"120042","PAP","R̩gie","SUD"
"121001","PAP","R̩gie","GRAND SUD"
